esmini GIT REV: N/A
esmini GIT TAG: N/A
esmini GIT BRANCH: N/A
esmini BUILD VERSION: N/A - client build
Scenario File Name: ..\resources\myresources\OSC-ALKS-scenarios\Scenarios/./ALKS_Scenario_4.5_1_CutOutFullyBlocking_TEMPLATE.xosc
Number of Vehicles: 3
Index [-] , TimeStamp [s] , #1 Entitity_Name [-] , #1 Entitity_ID [-] , #1 Current_Speed [m/s] , #1 Wheel_Angle [deg] , #1 Wheel_Rotation [-] , #1 bb_x [m] , #1 bb_y [m] , #1 bb_z [m] , #1 bb_length [m] , #1 bb_width [m] , #1 bb_height [m] , #1 World_Position_X [m] , #1 World_Position_Y [m] , #1 World_Position_Z [m] , #1 Vel_X [m/s] , #1 Vel_Y [m/s] , #1 Vel_Z [m/s] , #1 Acc_X [m/s2] , #1 Acc_Y [m/s2] , #1 Acc_Z [m/s2] , #1 Distance_Travelled_Along_Road_Segment [m] , #1 Lateral_Distance_Lanem [m] , #1 lane_id, #1 lane_offset[m] , #1 World_Heading_Angle [rad] , #1 Heading_Angle_Rate [rad/s] , #1 Relative_Heading_Angle [rad] , #1 Relative_Heading_Angle_Drive_Direction [rad] , #1 World_Pitch_Angle [rad] , #1 Road_Curvature [1/m] , #1 collision_ids , #2 Entitity_Name [-] , #2 Entitity_ID [-] , #2 Current_Speed [m/s] , #2 Wheel_Angle [deg] , #2 Wheel_Rotation [-] , #2 bb_x [m] , #2 bb_y [m] , #2 bb_z [m] , #2 bb_length [m] , #2 bb_width [m] , #2 bb_height [m] , #2 World_Position_X [m] , #2 World_Position_Y [m] , #2 World_Position_Z [m] , #2 Vel_X [m/s] , #2 Vel_Y [m/s] , #2 Vel_Z [m/s] , #2 Acc_X [m/s2] , #2 Acc_Y [m/s2] , #2 Acc_Z [m/s2] , #2 Distance_Travelled_Along_Road_Segment [m] , #2 Lateral_Distance_Lanem [m] , #2 lane_id, #2 lane_offset [m] , #2 World_Heading_Angle [rad] , #2 Heading_Angle_Rate [rad/s] , #2 Relative_Heading_Angle [rad] , #2 Relative_Heading_Angle_Drive_Direction [rad] , #2 World_Pitch_Angle [rad] , #2 Road_Curvature [1/m] , #2 collision_ids , #3 Entitity_Name [-] , #3 Entitity_ID [-] , #3 Current_Speed [m/s] , #3 Wheel_Angle [deg] , #3 Wheel_Rotation [-] , #3 bb_x [m] , #3 bb_y [m] , #3 bb_z [m] , #3 bb_length [m] , #3 bb_width [m] , #3 bb_height [m] , #3 World_Position_X [m] , #3 World_Position_Y [m] , #3 World_Position_Z [m] , #3 Vel_X [m/s] , #3 Vel_Y [m/s] , #3 Vel_Z [m/s] , #3 Acc_X [m/s2] , #3 Acc_Y [m/s2] , #3 Acc_Z [m/s2] , #3 Distance_Travelled_Along_Road_Segment [m] , #3 Lateral_Distance_Lanem [m] , #3 lane_id, #3 lane_offset [m] , #3 World_Heading_Angle [rad] , #3 Heading_Angle_Rate [rad/s] , #3 Relative_Heading_Angle [rad] , #3 Relative_Heading_Angle_Drive_Direction [rad] , #3 World_Pitch_Angle [rad] , #3 Road_Curvature [1/m] , #3 collision_ids , 
0, 0.000000, Ego, 0, 16.666667, 0.000000, 0.000000, 1.400000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 5.000000, -8.000000, 0.000000, 16.666667, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5.000000, -8.000000, -4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , TargetBlocking, 1, 0.000000, 0.000000, 0.000000, 0.150000, 0.000000, 0.900000, 0.300000, 0.500000, 1.800000, 500.000000, -8.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 500.000000, -8.000000, -4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , LeadVehicle, 2, 16.666667, 0.000000, 0.000000, 1.400000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 43.333334, -8.000000, 0.000000, 16.666667, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 43.333334, -8.000000, -4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
1, 0.025000, Ego, 0, 16.666667, 0.000000, 1.190476, 1.400000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 5.416667, -8.000000, 0.000000, 16.666667, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5.416667, -8.000000, -4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , TargetBlocking, 1, 0.000000, 0.000000, 0.000000, 0.150000, 0.000000, 0.900000, 0.300000, 0.500000, 1.800000, 500.000000, -8.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 500.000000, -8.000000, -4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , LeadVehicle, 2, 16.666667, 0.000000, 1.190476, 1.400000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 43.750001, -8.000000, 0.000000, 16.666667, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 43.750001, -8.000000, -4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
2, 0.050000, Ego, 0, 16.666667, 0.000000, 2.380952, 1.400000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 5.833333, -8.000000, 0.000000, 16.666667, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5.833333, -8.000000, -4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , TargetBlocking, 1, 0.000000, 0.000000, 0.000000, 0.150000, 0.000000, 0.900000, 0.300000, 0.500000, 1.800000, 500.000000, -8.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 500.000000, -8.000000, -4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , LeadVehicle, 2, 16.666667, 0.000000, 2.380952, 1.400000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 44.166667, -8.000000, 0.000000, 16.666667, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 44.166667, -8.000000, -4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
3, 0.075000, Ego, 0, 16.666667, 0.000000, 3.571429, 1.400000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 6.250000, -8.000000, 0.000000, 16.666667, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 6.250000, -8.000000, -4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , TargetBlocking, 1, 0.000000, 0.000000, 0.000000, 0.150000, 0.000000, 0.900000, 0.300000, 0.500000, 1.800000, 500.000000, -8.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 500.000000, -8.000000, -4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , LeadVehicle, 2, 16.666667, 0.000000, 3.571429, 1.400000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 44.583334, -8.000000, 0.000000, 16.666667, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 44.583334, -8.000000, -4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
4, 0.100000, Ego, 0, 16.666667, 0.000000, 4.761905, 1.400000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 6.666667, -8.000000, 0.000000, 16.666667, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 6.666667, -8.000000, -4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , TargetBlocking, 1, 0.000000, 0.000000, 0.000000, 0.150000, 0.000000, 0.900000, 0.300000, 0.500000, 1.800000, 500.000000, -8.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 500.000000, -8.000000, -4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , LeadVehicle, 2, 16.666667, 0.000000, 4.761905, 1.400000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 45.000001, -8.000000, 0.000000, 16.666667, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 45.000001, -8.000000, -4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
5, 0.125000, Ego, 0, 16.666667, 0.000000, 5.952381, 1.400000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 7.083333, -8.000000, 0.000000, 16.666667, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 7.083333, -8.000000, -4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , TargetBlocking, 1, 0.000000, 0.000000, 0.000000, 0.150000, 0.000000, 0.900000, 0.300000, 0.500000, 1.800000, 500.000000, -8.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 500.000000, -8.000000, -4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , LeadVehicle, 2, 16.666667, 0.000000, 5.952381, 1.400000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 45.416667, -8.000000, 0.000000, 16.666667, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 45.416667, -8.000000, -4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
6, 0.150000, Ego, 0, 16.666667, 0.000000, 0.859672, 1.400000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 7.500000, -8.000000, 0.000000, 16.666667, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 7.500000, -8.000000, -4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , TargetBlocking, 1, 0.000000, 0.000000, 0.000000, 0.150000, 0.000000, 0.900000, 0.300000, 0.500000, 1.800000, 500.000000, -8.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 500.000000, -8.000000, -4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , LeadVehicle, 2, 16.666667, 0.000000, 0.859672, 1.400000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 45.833334, -8.000000, 0.000000, 16.666667, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 45.833334, -8.000000, -4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
7, 0.175000, Ego, 0, 16.666667, 0.000000, 2.050148, 1.400000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 7.916667, -8.000000, 0.000000, 16.666667, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 7.916667, -8.000000, -4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , TargetBlocking, 1, 0.000000, 0.000000, 0.000000, 0.150000, 0.000000, 0.900000, 0.300000, 0.500000, 1.800000, 500.000000, -8.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 500.000000, -8.000000, -4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , LeadVehicle, 2, 16.666667, 0.000000, 2.050148, 1.400000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 46.250001, -8.000000, 0.000000, 16.666667, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 46.250001, -8.000000, -4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
8, 0.200000, Ego, 0, 16.666667, 0.000000, 3.240624, 1.400000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 8.333333, -8.000000, 0.000000, 16.666667, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 8.333333, -8.000000, -4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , TargetBlocking, 1, 0.000000, 0.000000, 0.000000, 0.150000, 0.000000, 0.900000, 0.300000, 0.500000, 1.800000, 500.000000, -8.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 500.000000, -8.000000, -4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , LeadVehicle, 2, 16.666667, 0.000000, 3.240624, 1.400000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 46.666667, -8.000000, 0.000000, 16.666667, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 46.666667, -8.000000, -4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
9, 0.225000, Ego, 0, 16.666667, 0.000000, 4.431101, 1.400000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 8.750000, -8.000000, 0.000000, 16.666667, 0.000000, 0.000000, -0.000000, 0.000000, 0.000000, 8.750000, -8.000000, -4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , TargetBlocking, 1, 0.000000, 0.000000, 0.000000, 0.150000, 0.000000, 0.900000, 0.300000, 0.500000, 1.800000, 500.000000, -8.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 500.000000, -8.000000, -4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , LeadVehicle, 2, 16.666667, 0.000000, 4.431101, 1.400000, 0.000000, 0.900000, 5.000000, 2.000000, 1.800000, 47.083334, -8.000000, 0.000000, 16.666667, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 47.083334, -8.000000, -4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
